Date,Close,Predictions,Stock,Model,Method
2016-01-07,10100,,HAG,SkLearn,No
2016-01-08,10200,,HAG,SkLearn,No
2016-01-11,10900,,HAG,SkLearn,No
2016-01-12,11300,,HAG,SkLearn,No
2016-01-13,10900,,HAG,SkLearn,No
2016-01-14,10300,,HAG,SkLearn,No
2016-01-15,9900,,HAG,SkLearn,No
2016-01-18,9300,,HAG,SkLearn,No
2016-01-19,9600,,HAG,SkLearn,No
2016-01-20,9000,,HAG,SkLearn,No
2016-01-21,8400,,HAG,SkLearn,No
2016-01-22,7900,,HAG,SkLearn,No
2016-01-25,8400,,HAG,SkLearn,No
2016-01-26,8900,,HAG,SkLearn,No
2016-01-27,8800,,HAG,SkLearn,No
2016-01-28,8300,,HAG,SkLearn,No
2016-01-29,8200,,HAG,SkLearn,No
2016-02-01,8200,,HAG,SkLearn,No
2016-02-02,8000,,HAG,SkLearn,No
2016-02-03,7600,,HAG,SkLearn,No
2016-02-04,7700,,HAG,SkLearn,No
2016-02-05,7800,,HAG,SkLearn,No
2016-02-15,7800,,HAG,SkLearn,No
2016-02-16,7800,,HAG,SkLearn,No
2016-02-17,7800,,HAG,SkLearn,No
2016-02-18,7800,,HAG,SkLearn,No
2016-02-19,8300,,HAG,SkLearn,No
2016-02-22,8800,,HAG,SkLearn,No
2016-02-23,8900,,HAG,SkLearn,No
2016-02-24,9000,,HAG,SkLearn,No
2016-02-25,8700,,HAG,SkLearn,No
2016-02-26,8600,,HAG,SkLearn,No
2016-02-29,8100,,HAG,SkLearn,No
2016-03-01,8300,,HAG,SkLearn,No
2016-03-02,8300,,HAG,SkLearn,No
2016-03-03,7900,,HAG,SkLearn,No
2016-03-04,8200,,HAG,SkLearn,No
2016-03-07,8400,,HAG,SkLearn,No
2016-03-08,8200,,HAG,SkLearn,No
2016-03-09,8100,,HAG,SkLearn,No
2016-03-10,8500,,HAG,SkLearn,No
2016-03-11,8400,,HAG,SkLearn,No
2016-03-14,8400,,HAG,SkLearn,No
2016-03-15,8300,,HAG,SkLearn,No
2016-03-16,8500,,HAG,SkLearn,No
2016-03-17,8400,,HAG,SkLearn,No
2016-03-18,8400,,HAG,SkLearn,No
2016-03-21,8500,,HAG,SkLearn,No
2016-03-22,8500,,HAG,SkLearn,No
2016-03-23,8500,,HAG,SkLearn,No
2016-03-24,8300,,HAG,SkLearn,No
2016-03-25,8200,,HAG,SkLearn,No
2016-03-28,8200,,HAG,SkLearn,No
2016-03-29,8000,,HAG,SkLearn,No
2016-03-30,8100,,HAG,SkLearn,No
2016-03-31,7800,,HAG,SkLearn,No
2016-04-01,7700,,HAG,SkLearn,No
2016-04-04,7700,,HAG,SkLearn,No
2016-04-05,7800,,HAG,SkLearn,No
2016-04-06,7800,,HAG,SkLearn,No
2016-04-07,7700,,HAG,SkLearn,No
2016-04-08,7600,,HAG,SkLearn,No
2016-04-11,7400,,HAG,SkLearn,No
2016-04-12,6900,,HAG,SkLearn,No
2016-04-13,6700,,HAG,SkLearn,No
2016-04-14,7100,,HAG,SkLearn,No
2016-04-15,6900,,HAG,SkLearn,No
2016-04-19,6700,,HAG,SkLearn,No
2016-04-20,6700,,HAG,SkLearn,No
2016-04-21,6800,,HAG,SkLearn,No
2016-04-22,7000,,HAG,SkLearn,No
2016-04-25,7400,,HAG,SkLearn,No
2016-04-26,7900,,HAG,SkLearn,No
2016-04-27,8000,,HAG,SkLearn,No
2016-04-28,7900,,HAG,SkLearn,No
2016-04-29,8000,,HAG,SkLearn,No
2016-05-04,7500,,HAG,SkLearn,No
2016-05-05,7400,,HAG,SkLearn,No
2016-05-06,7500,,HAG,SkLearn,No
2016-05-09,7400,,HAG,SkLearn,No
2016-05-10,7400,,HAG,SkLearn,No
2016-05-11,7500,,HAG,SkLearn,No
2016-05-12,7500,,HAG,SkLearn,No
2016-05-13,7400,,HAG,SkLearn,No
2016-05-16,7400,,HAG,SkLearn,No
2016-05-17,7900,,HAG,SkLearn,No
2016-05-18,8400,,HAG,SkLearn,No
2016-05-19,8300,,HAG,SkLearn,No
2016-05-20,8000,,HAG,SkLearn,No
2016-05-23,8100,,HAG,SkLearn,No
2016-05-24,8000,,HAG,SkLearn,No
2016-05-25,8000,,HAG,SkLearn,No
2016-05-26,7700,,HAG,SkLearn,No
2016-05-27,7900,,HAG,SkLearn,No
2016-05-30,8000,,HAG,SkLearn,No
2016-05-31,7800,,HAG,SkLearn,No
2016-06-01,7900,,HAG,SkLearn,No
2016-06-02,8100,,HAG,SkLearn,No
2016-06-03,8100,,HAG,SkLearn,No
2016-06-06,8000,,HAG,SkLearn,No
2016-06-07,8000,,HAG,SkLearn,No
2016-06-08,8100,,HAG,SkLearn,No
2016-06-09,8100,,HAG,SkLearn,No
2016-06-10,7900,,HAG,SkLearn,No
2016-06-13,7700,,HAG,SkLearn,No
2016-06-14,7800,,HAG,SkLearn,No
2016-06-15,7900,,HAG,SkLearn,No
2016-06-16,7800,,HAG,SkLearn,No
2016-06-17,7600,,HAG,SkLearn,No
2016-06-20,7600,,HAG,SkLearn,No
2016-06-21,7600,,HAG,SkLearn,No
2016-06-22,7600,,HAG,SkLearn,No
2016-06-23,7700,,HAG,SkLearn,No
2016-06-24,7400,,HAG,SkLearn,No
2016-06-27,7100,,HAG,SkLearn,No
2016-06-28,7100,,HAG,SkLearn,No
2016-06-29,7300,,HAG,SkLearn,No
2016-06-30,7300,,HAG,SkLearn,No
2016-07-01,7400,,HAG,SkLearn,No
2016-07-04,7500,,HAG,SkLearn,No
2016-07-05,7300,,HAG,SkLearn,No
2016-07-06,7300,,HAG,SkLearn,No
2016-07-07,7200,,HAG,SkLearn,No
2016-07-08,7100,,HAG,SkLearn,No
2016-07-11,6800,,HAG,SkLearn,No
2016-07-12,6800,,HAG,SkLearn,No
2016-07-13,6900,,HAG,SkLearn,No
2016-07-14,6700,,HAG,SkLearn,No
2016-07-15,6700,,HAG,SkLearn,No
2016-07-18,6900,,HAG,SkLearn,No
2016-07-19,6800,,HAG,SkLearn,No
2016-07-20,6700,,HAG,SkLearn,No
2016-07-21,6600,,HAG,SkLearn,No
2016-07-22,6400,,HAG,SkLearn,No
2016-07-25,6800,,HAG,SkLearn,No
2016-07-26,6700,,HAG,SkLearn,No
2016-07-27,6600,,HAG,SkLearn,No
2016-07-28,6400,,HAG,SkLearn,No
2016-07-29,6400,,HAG,SkLearn,No
2016-08-01,6300,,HAG,SkLearn,No
2016-08-02,6100,,HAG,SkLearn,No
2016-08-03,5800,,HAG,SkLearn,No
2016-08-04,5400,,HAG,SkLearn,No
2016-08-05,5100,,HAG,SkLearn,No
2016-08-08,5300,,HAG,SkLearn,No
2016-08-09,5600,,HAG,SkLearn,No
2016-08-10,5900,,HAG,SkLearn,No
2016-08-11,6300,,HAG,SkLearn,No
2016-08-12,6500,,HAG,SkLearn,No
2016-08-15,6900,,HAG,SkLearn,No
2016-08-16,6800,,HAG,SkLearn,No
2016-08-17,6400,,HAG,SkLearn,No
